Serial No,Flashcard ID,Year,Intervention ,Highlight,Participant Type,Participants (n),Intervention Duration,Proven Benefits Statement,Study Design,Follow-up Timepoints,Citation Short,Link to Published Study,Annotated PDF (Internal Use ONLY),Journal,Study Population,Subtopic,Journal Reputation,Corresponding Author Affiliation,Geography (Country),Source Documents,Validation,Rating
1,ACHARYA_2017_01,2017,SKY,,Healthy Males,100,3+ years,↑ 6% increased Forced Vital Capacity (FVC)|↑ 6% increased Forced Expiratory Volume (FEV1)|↑ 8% increased Peak Expiratory Flow Rate (PEFR),Cross-Sectional Study,,"Acharya et al., 2017",https://www.saspublishers.com/media/articles/SJAMS_59D3785-3788.pdf,Acharya-2017-Comparative Study of Pulmonary Fu.pdf,Scholars Journal of Applied Medical Sciences,Practitioners / Meditators,PH: Breath / Lungs,Predatory,"RNT Medical College, Udaipur",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
2,CARTER_2013_01,,SKY,,Vietnam Veterans with PTSD,25,6 weeks,↓ 25% reduction in PTSD symptoms (6 weeks)|↓ 32% reduction in depression (6 weeks)|↓ 53% reduction in PTSD symptoms (6 months),Randomised Controlled Trial,6 months,"Carter et al., 2013",,J.Carter-2013-Multi-Component Yoga Breath Prog.pdf,Journal of Traumatic Stress Disorders & Treatment,At-risk Communities,"MH: Stress, MH: Anxiety, MH: Depression, SH: At-risk Communities",Predatory,"START Clinic for the Mood and
Anxiety Disorders, 32 Park Road, Toronto, Ontario, Canada,",Canada,"Fact-Check Master Doc, TC Explorer",Reviewed,
2,AGTE_2004_01,2004,SKY,,T2D Patients,35,4 months,↓ 17% reduced fasting glucose|↓ 16% reduced triglycerides|↓ 15% reduced cholesterol,Observational Study,,"Agte and Tarwadi, 2004",https://journals.sagepub.com/doi/abs/10.1089/1076280041580323?cf-mal-redirected=true&journalCode=act,Agte-2004-Sudarshan Kriya Yoga for Treating Ty.pdf,Alternative and Complementary Therapies,Patients,PH: Diabetes,Mixed Reputation,"Agharkar Research Institute, Pune",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
1,AGTE_2008_01,2008,SKY,Reduces anxiety and improves physical balance in healthy adults,Healthy Adults,37,2 months,↓ 19% reduced anxiety|↓ 13% decreased malondialdehyde (MDA)|↑ 28% increased superoxide dismutase (SOD),Single-Arm Pre-Post Study,,"Agte and Chiplonkar, 2008",https://journals.sagepub.com/doi/10.1089/act.2008.14204?cf-mal-redirected=true&,Agte-2008-Sudarshan Kriya Yoga for Improving A.pdf,Alternative and Complementary Therapies,General Population,"PH: Biomarkers, MH: Anxiety",Acceptable,"Agharkar Research Institute, Pune",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet.",Reviewed,
2,AHMAD_2016_01,2016,SKY,Improves breathing and lung capacity in medical students,Medical Students,30,90 days,↑ 12% increased Vital Capacity (FVC)|↑ 15% increased Peak Expiratory Flow Rate (PEFR),Single-Arm Pre-Post Study,,"Ahmad et al., 2016",https://www.ijbamr.com/assets/images/issues/pdf/June%202016%20748-752.pdf.pdf,Ahmad-2016-Assessment of Pulmonary functions a.pdf,Indian Journal of Basic and Applied Medical Research,Youth & Students,"PH: Breath / Lungs, MH: Stress",Acceptable,Hind Institute of Medical Sciences,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
3,AHMAD_2016a_01,2016,SKY,,Medical Students,30,3 months,Reduced blood pressure|Improved cholesterol levels|Reduced blood sugar,Single-Arm Pre-Post Study,,"Ahmad et al., 2016",https://www.msjonline.org/index.php/ijrms/article/view/879,Ahmad-2016-Impact of sudarshan kriya yoga on m.pdf,International Journal of Research in Medical Sciences,Youth & Students,"SH: Youth & Students, PH: Heart",Mixed Reputation,"Hind Instituite of Medical Sciences, Barbanksi, India",India,Fact-Check Master Doc,Reviewed,
3,AYYILDIZ_2017_01,2017,SKY,Supports immune function at the cellular level in healthy adults,Healthy Adults,10,4 days,"↑ 217 genes showed altered expression in immune cells, including cancer regulation pathways|↓ Reduced expression of genes linked to cell death and DNA damage",Observational Study,,"Ayyildiz and Arga, 2017",https://pubmed.ncbi.nlm.nih.gov/28692417/,Ayyildiz-2017-Hypothesis_ Are There Molecular.pdf,OMICS: A Journal of Integrative Biology,General Population,"PH: Cancer, PH: Genes, PH: Biomarkers",Acceptable,"University of Udine, Udine, Italy.",Italy,Fact-Check Master Doc.,Reviewed,⭐⭐⭐⭐⭐
4,BALASUBRAMANIAN_2025_01,2025,SKY,Reduces inflammation and strengthens immunity in healthcare workers,Healthcare Workers,38,12 weeks,"Reduced markers of inflammation (ESR, CRP, N:L ratio)|↑ Increased anti-inflammatory cytokine IL-4|↑ Increased CD56+ and CD8+ immune cell counts",Randomised Controlled Trial,,"Balasubramanian et al., 2025",https://publish.kne-publishing.com/index.php/tim/article/view/17474/16332,Balasubramanian-2025-Effect of a Yogic Breathi.pdf,Traditional and Integrative Medicine,Professionals,"PH: Biomarkers, PH: Immunity",Acceptable,"Sri Ramachandra Institute, Chennai",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet.",Reviewed,
5,BAYLEY_2022_01,2022,SKY,Reduces PTSD and depression symptoms in war veterans,War Veterans with PTSD,85,6 weeks,Reduced PTSD and depression symptoms|Improved overall mood|Found as effective as standard Cognitive Processing Therapy (CPT),Randomised Controlled Trial,,"Bayley et al., 2022",https://pubmed.ncbi.nlm.nih.gov/36008059/,Bayley-2022-Randomised clinical non-inferiorit.pdf,BMJ Open,At-risk Communities,"SH: At-risk Communities, MH: Stress",Acceptable,"War Related Illness and Injury Study Center, VA Palo Alto Health Care System, Palo Alto, California, USA",USA,"Fact-Check Master Doc, TC Explorer",Reviewed,⭐⭐⭐⭐⭐
6,BHASKAR_2017_01,2017,SKY,Improves heart recovery and stress response in healthy adults,Healthy Adults,30,Single SKY Session,↓ 13% reduced heart rate|↑ 18% improved sympathovagal balance|Increased heart efficiency,Single-Arm Pre-Post Study,,"Bhaskar et al., 2017",https://pubmed.ncbi.nlm.nih.gov/28691853/,Bhaskar-2017-Assessment of Cardiac Autonomic T.pdf,Journal of Alternative and Complementary Medicine,General Population,"PH: Heart, PH: Vagus Nerve",Acceptable,"AIIMS, New Delhi, SSIAR",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
